filename,genre,tempo,spectral_centroid,zero_crossing_rate,rmse,bandwidth,chroma,beat_strength,tempo_variation,onset_density,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
blues.00000.wav,blues,123.046875,1784.1226412753101,0.08304482066898686,0.13018432,2002.4124072733878,0.3501285,1.3917768,0.18244338040408917,4.36472678809418,-113.59882,121.57067,-19.162262,42.363937,-6.362266,18.621933,-13.699734,15.339802,-12.274304,10.970944,-8.326061,8.802088,-3.6699414
blues.00001.wav,blues,107.666015625,1530.2617669893777,0.05603980870552978,0.09590782,2038.9876082704006,0.3408494,1.4452636,0.15233852641167844,2.7321190581963575,-207.52383,123.98514,8.947019,35.86715,2.909594,21.519474,-8.556513,23.370676,-10.103608,11.899242,-5.558824,5.3778763,-2.234492
blues.00002.wav,blues,161.4990234375,1552.8324814348227,0.07629120746326373,0.17547321,1747.7540868495225,0.36353773,1.6386017,0.16328564102613136,4.864504664593515,-90.757164,140.44087,-29.084547,31.686691,-13.976547,25.753752,-13.664991,11.634442,-11.778322,9.714756,-13.125314,5.7912464,-8.901966
blues.00003.wav,blues,172.265625,1070.1534175250663,0.03330886262567672,0.14104027,1596.4225644535766,0.40485433,1.2481678,0.1454079085511452,2.665482007996446,-199.57513,150.0861,5.663404,26.855278,1.7700715,14.232647,-4.827845,9.286853,-0.7561202,8.134435,-3.200026,6.078081,-2.478445
blues.00004.wav,blues,135.99917763157896,1835.12851277257,0.10146053871809745,0.09150122,1748.4107584538087,0.30852598,1.6452925,0.161771784224362,5.19768991559307,-160.35417,126.209496,-35.581394,22.139256,-32.47355,10.850701,-23.35007,0.49324894,-11.796538,1.2035191,-13.084959,-2.8104997,-6.9344716
blues.00005.wav,blues,112.34714673913044,1832.0115969728529,0.09404153373936582,0.103452876,1729.5808044661662,0.30252185,1.5195411,0.14134160185189806,3.331852509995558,-177.80174,118.20316,-17.57063,30.760927,-21.742554,11.919263,-20.734299,3.1852882,-8.580818,-0.9328851,-11.772245,-2.408764,-9.348446
blues.00006.wav,blues,123.046875,1459.4696908114731,0.07305223740815932,0.14175196,1389.068445556609,0.29142597,1.6381124,0.1371823667872196,3.631719235895158,-190.0688,130.27023,-36.36211,33.036213,11.093891,-0.5918819,-20.890266,0.2784424,-6.496385,-5.5127354,-7.847404,-3.1243007,-6.6028214
blues.00007.wav,blues,92.28515625,1451.859413795751,0.061442246108855375,0.13176751,1577.5671157628296,0.30737153,1.5435379,0.15291108209596588,3.7649933362949803,-179.3723,136.44833,-26.662588,39.96545,5.3108945,10.919135,-20.559534,8.503361,-11.349764,-3.4705548,-8.415842,-6.957211,-3.5460432
blues.00008.wav,blues,83.35433467741936,1719.4633657271252,0.06402488761600927,0.14232728,2031.8293659117528,0.40891296,1.4527974,0.18303779322296648,5.297645490892937,-121.38979,122.49833,-14.734729,46.12214,-8.179258,20.172466,-19.171894,23.036839,-11.832729,21.154655,-6.7227974,6.989506,-12.730549
blues.00009.wav,blues,129.19921875,1817.2305900912734,0.07917482356921887,0.08128055,1973.7920387617448,0.27396762,1.2483472,0.20400552794538052,3.7316748111950244,-213.26424,115.16476,-11.69817,39.015358,-20.34833,13.082702,-9.182701,9.017152,-14.10431,4.271254,-6.0507803,3.7858355,0.22263563
blues.00010.wav,blues,161.4990234375,1410.0234234402606,0.06295882576856149,0.14278811,1512.304654662329,0.30396983,1.890094,0.13399615536605633,4.398045313194136,-173.81046,137.17355,-23.72303,26.979677,-16.67521,4.1947303,-12.571788,5.851669,-2.8769505,-1.1783808,-1.9682406,1.8011796,-3.0069504
blues.00011.wav,blues,161.4990234375,1352.7427097237662,0.043930584759280744,0.06570574,1756.8820971332527,0.36588737,1.4497986,0.1497453650227945,3.798311861394936,-287.9319,124.010765,5.4674478,33.66307,1.091654,14.703699,-4.8811417,8.668892,0.7843316,6.57608,-4.8758154,-3.176761,-5.538258
blues.00012.wav,blues,92.28515625,1360.6856016703396,0.06909500676720805,0.118989594,1567.2994690310572,0.26933804,1.5182763,0.1628540430389766,3.6650377609951135,-207.2383,132.82741,-15.45408,60.980972,0.7190261,12.4613285,1.163385,-1.5329198,-17.89585,8.360363,-2.4596508,-0.5846392,0.37226436
